Date,signal,Fast_SMA,Slow_SMA,positions,Sell
4/26/16,0,106.5562504,107.0682355,-1,Sell
6/23/16,0,96.26750075,96.31999988,-1,Sell
9/9/16,0,106.4087495,106.4994118,-1,Sell
11/2/16,0,114.5387496,114.7361764,-1,Sell
6/14/17,0,150.611248,151.4697042,-1,Sell
9/19/17,0,159.5249998,159.792354,-1,Sell
12/12/17,0,170.3199996,170.4623534,-1,Sell
1/4/18,0,171.7512495,171.9770589,-1,Sell
1/30/18,0,173.0337506,173.7152939,-1,Sell
3/27/18,0,171.841253,172.5735302,-1,Sell
4/23/18,0,173.0662515,173.0741185,-1,Sell
6/21/18,0,188.6262511,188.6473528,-1,Sell
10/15/18,0,221.6499996,222.8397064,-1,Sell
5/14/19,0,199.7837487,199.88,-1,Sell
8/9/19,0,202.4112471,203.3123532,-1,Sell
2/25/20,0,314.0062448,315.5079408,-1,Sell
