Date,signal,Fast_SMA,Slow_SMA,positions,Buy
3/1/16,1,182.0725002,181.3544118,1,Buy
6/9/16,1,224.83,224.2344123,1,Buy
7/12/16,1,217.4187489,216.5414694,1,Buy
12/14/16,1,192.4424972,190.4973521,1,Buy
3/27/17,1,259.9149991,259.6226497,1,Buy
8/9/17,1,344.6062545,341.4411755,1,Buy
12/12/17,1,315.6250039,313.63294,1,Buy
1/9/18,1,320.7237472,320.6279432,1,Buy
2/26/18,1,339.4474982,339.0291201,1,Buy
5/7/18,1,294.4799995,291.5470568,1,Buy
6/6/18,1,292.2812537,290.801177,1,Buy
8/7/18,1,325.7000045,324.3332366,1,Buy
10/26/18,1,285.6300011,284.2999972,1,Buy
1/16/19,1,340.7437477,340.4600004,1,Buy
6/19/19,1,218.0337506,215.4002942,1,Buy
9/11/19,1,230.3449975,227.8208816,1,Buy
4/15/20,1,594.2762604,568.7488241,1,Buy
