Date,signal,Fast_SMA,Slow_SMA,positions,Sell
5/4/16,0,242.7725029,243.1141199,-1,Sell
6/22/16,0,214.9874994,216.6685289,-1,Sell
8/19/16,0,224.6399995,224.9141165,-1,Sell
3/3/17,0,254.3487529,256.7288262,-1,Sell
7/7/17,0,344.7162436,350.0817628,-1,Sell
9/28/17,0,354.6737517,355.805586,-1,Sell
1/3/18,0,318.7850037,319.0470609,-1,Sell
2/12/18,0,330.8100051,333.4579441,-1,Sell
3/8/18,0,335.3812485,338.2111781,-1,Sell
5/18/18,0,292.1150017,292.7652929,-1,Sell
7/11/18,0,320.8600005,322.5741191,-1,Sell
8/24/18,0,321.8175047,324.8808844,-1,Sell
12/21/18,0,345.3337516,347.7623542,-1,Sell
1/18/19,0,338.1512491,339.2182357,-1,Sell
8/5/19,0,234.1262511,236.1923532,-1,Sell
3/9/20,0,702.7049941,725.8002947,-1,Sell
